epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.648554801940918,0.8434150218963623,0.0003000000142492354,0.8092892169952393,0.3628571331501007,0.6397700309753418,1.8450425863265991
1,0.7294420599937439,0.8910872340202332,0.0003000000142492354,0.699592649936676,0.45206350088119507,0.7007508277893066,1.6138635873794556
2,0.7474045753479004,0.9002609252929688,0.0003000000142492354,0.6787663102149963,0.4139682650566101,0.7037566304206848,1.6761478185653687
3,0.7523713707923889,0.9047319889068604,0.0003000000142492354,0.6683251857757568,0.4647619128227234,0.7236846089363098,1.3675925731658936
4,0.761856734752655,0.9090102314949036,0.0003000000142492354,0.6583095192909241,0.4514285624027252,0.7079437375068665,1.316367506980896
5,0.7641347646713257,0.9121031165122986,0.0003000000142492354,0.6524325609207153,0.5082539916038513,0.7417944073677063,1.1955575942993164
6,0.7707446217536926,0.916302502155304,0.0003000000142492354,0.6450704336166382,0.4809523820877075,0.7388713359832764,1.243145227432251
7,0.77474045753479,0.9191151261329651,0.0003000000142492354,0.6394057869911194,0.4673015773296356,0.7328535914421082,1.2845600843429565
8,0.7781761288642883,0.9218043684959412,0.0003000000142492354,0.6340517401695251,0.5323809385299683,0.7562780380249023,1.186722993850708
9,0.7805661559104919,0.9232180118560791,0.0003000000142492354,0.6299099326133728,0.56634920835495,0.7659692168235779,1.099794864654541
10,0.7869146466255188,0.9248105883598328,0.0003000000142492354,0.6271259784698486,0.5495238304138184,0.7626460194587708,1.1665135622024536
11,0.7906863689422607,0.926440954208374,0.0003000000142492354,0.622937023639679,0.5888888835906982,0.7611231207847595,1.080524206161499
12,0.7891179323196411,0.9277892708778381,0.0003000000142492354,0.6192831993103027,0.602222204208374,0.7618147730827332,1.0667659044265747
13,0.795055627822876,0.9290411472320557,0.0003000000142492354,0.6159954071044922,0.6025396585464478,0.7801723480224609,1.039468765258789
14,0.7978564500808716,0.9314802289009094,0.0003000000142492354,0.6109454035758972,0.6073015928268433,0.771783173084259,1.0807931423187256
15,0.8015908598899841,0.9324443936347961,0.0003000000142492354,0.6088003516197205,0.5955555438995361,0.7764965891838074,1.0943586826324463
16,0.8048024773597717,0.9341349601745605,0.0003000000142492354,0.6044766306877136,0.6038095355033875,0.7846272587776184,1.0621211528778076
17,0.8185824155807495,0.9401485919952393,9.000000136438757e-05,0.5886127948760986,0.6269841194152832,0.8077860474586487,0.9859183430671692
18,0.8224661946296692,0.9424317479133606,9.000000136438757e-05,0.5828267335891724,0.6301587224006653,0.8110179901123047,0.9707742929458618
19,0.823250412940979,0.9436226487159729,9.000000136438757e-05,0.579689621925354,0.641269862651825,0.8175396919250488,0.9436923861503601
20,0.827731728553772,0.9455171227455139,9.000000136438757e-05,0.5747429132461548,0.6555555462837219,0.8246487975120544,0.910513162612915
21,0.8291507959365845,0.9470410346984863,9.000000136438757e-05,0.5705594420433044,0.6336507797241211,0.8218672871589661,0.93976229429245
22,0.8339308500289917,0.9480692744255066,9.000000136438757e-05,0.5676299333572388,0.641269862651825,0.8233790397644043,0.9352662563323975
23,0.834229588508606,0.9490496516227722,9.000000136438757e-05,0.5652021169662476,0.6520634889602661,0.8275527954101562,0.9121925234794617
24,0.8426693677902222,0.9526255130767822,2.700000004551839e-05,0.5550456047058105,0.677142858505249,0.8438542485237122,0.846960723400116
25,0.8248189091682434,0.9443426132202148,0.0003000000142492354,0.5791218876838684,0.6193650960922241,0.7964624762535095,1.014142394065857
26,0.8207857012748718,0.9421346187591553,0.0003000000142492354,0.584235668182373,0.6219047904014587,0.8016200065612793,1.015364646911621
27,0.8191052079200745,0.9423656463623047,0.0003000000142492354,0.5842254161834717,0.6098412871360779,0.8000786304473877,1.0454672574996948
28,0.821345865726471,0.9426429867744446,0.0003000000142492354,0.5824999213218689,0.6273015737533569,0.8020853400230408,1.0242348909378052
29,0.8395324349403381,0.9519379734992981,9.000000136438757e-05,0.5577185153961182,0.6425396800041199,0.8246619701385498,0.9449509978294373
30,0.8462170362472534,0.955172061920166,9.000000136438757e-05,0.5478243827819824,0.6612698435783386,0.8342201113700867,0.8860085010528564
31,0.8505489826202393,0.9564027190208435,9.000000136438757e-05,0.5437821745872498,0.6520634889602661,0.8314314484596252,0.9183154106140137
32,0.8539845943450928,0.958575427532196,9.000000136438757e-05,0.5371394157409668,0.6539682745933533,0.8263828158378601,0.9329812526702881
33,0.8585032224655151,0.9596154093742371,9.000000136438757e-05,0.5330324172973633,0.668571412563324,0.837820291519165,0.8813932538032532
34,0.8604077696800232,0.961026132106781,9.000000136438757e-05,0.5293017029762268,0.6793650984764099,0.841087818145752,0.8621255159378052
35,0.8626111149787903,0.962393045425415,9.000000136438757e-05,0.5247260332107544,0.6723809242248535,0.8414154648780823,0.8782593011856079
36,0.865262508392334,0.9631881713867188,9.000000136438757e-05,0.5225274562835693,0.6793650984764099,0.8401439785957336,0.8573236465454102
37,0.8695944547653198,0.9649880528450012,9.000000136438757e-05,0.5165039896965027,0.668571412563324,0.8381993174552917,0.8849766850471497
38,0.8709761500358582,0.9658480286598206,9.000000136438757e-05,0.5131147503852844,0.678412675857544,0.8422192931175232,0.8726165890693665
39,0.875308096408844,0.9672253727912903,9.000000136438757e-05,0.5082058310508728,0.6800000071525574,0.8393411636352539,0.8682085275650024
40,0.8871461749076843,0.9722258448600769,2.700000004551839e-05,0.489705353975296,0.6933333277702332,0.8495020866394043,0.8460866808891296
41,0.8927104473114014,0.9737691283226013,2.700000004551839e-05,0.48344412446022034,0.7019047737121582,0.8523710370063782,0.8314319252967834
42,0.8937934041023254,0.9743444919586182,2.700000004551839e-05,0.48097941279411316,0.705396831035614,0.8533735275268555,0.8308435082435608
