epoch,class_0_recall,class_0_auc,class_1_recall,class_1_auc,class_2_recall,class_2_auc
26,0.9514285714285714,0.8878092970521542,0.2838095238095238,0.6189972789115646,0.6228571428571429,0.8826027210884354
27,0.9485714285714286,0.897649433106576,0.22476190476190477,0.6177900226757369,0.6923809523809524,0.8895555555555555
28,0.9714285714285714,0.8990099773242631,0.21904761904761905,0.6130362811791383,0.6390476190476191,0.8883297052154197
29,0.9495238095238095,0.8960294784580499,0.3028571428571429,0.6219092970521543,0.6295238095238095,0.8883922902494331
30,0.9580952380952381,0.9185129251700681,0.2876190476190476,0.6552920634920635,0.6819047619047619,0.9003065759637187
31,0.9428571428571428,0.9237485260770975,0.32666666666666666,0.6738349206349206,0.7142857142857143,0.9051356009070294
32,0.9495238095238095,0.9206439909297053,0.30952380952380953,0.6751596371882086,0.6971428571428572,0.8985455782312926
33,0.9628571428571429,0.9214825396825397,0.32095238095238093,0.6550208616780046,0.6780952380952381,0.9026281179138322
34,0.9533333333333334,0.9280739229024944,0.3476190476190476,0.6764244897959184,0.7047619047619048,0.9089410430839003
35,0.9428571428571428,0.9276848072562358,0.3171428571428571,0.6857609977324264,0.7780952380952381,0.9097859410430839
36,0.9533333333333334,0.9286167800453515,0.3419047619047619,0.6850689342403627,0.7219047619047619,0.9105015873015874
37,0.9419047619047619,0.9267857142857143,0.3295238095238095,0.6836380952380953,0.7666666666666667,0.9100104308390022
38,0.9447619047619048,0.9240353741496599,0.3485714285714286,0.6857160997732427,0.7123809523809523,0.9049238095238096
39,0.9485714285714286,0.9257768707482994,0.26285714285714284,0.6914077097505669,0.8238095238095238,0.9095310657596372
40,0.9447619047619048,0.9232292517006803,0.3304761904761905,0.687918820861678,0.7647619047619048,0.9069786848072562
41,0.9361904761904762,0.9292018140589569,0.3923809523809524,0.7080634920634921,0.7514285714285714,0.9111541950113378
42,0.9257142857142857,0.9292748299319726,0.44,0.7171551020408163,0.74,0.9106893424036281
43,0.9247619047619048,0.9296004535147392,0.43714285714285717,0.718185941043084,0.7542857142857143,0.9123056689342404
44,0.92,0.9301160997732425,0.4066666666666667,0.7266235827664399,0.7733333333333333,0.911687074829932
45,0.9219047619047619,0.9292315192743764,0.4266666666666667,0.717748299319728,0.7657142857142857,0.9107755102040815
46,0.92,0.9283687074829932,0.43333333333333335,0.7165129251700679,0.7571428571428571,0.9097918367346938
47,0.9219047619047619,0.9288548752834468,0.4342857142857143,0.7165473922902493,0.7523809523809524,0.9103124716553288
48,0.8895238095238095,0.9303578231292516,0.47523809523809524,0.7386548752834466,0.7704761904761904,0.9121133786848071
49,0.8857142857142857,0.9291678004535147,0.48,0.7379505668934241,0.7771428571428571,0.9107700680272108
50,0.8885714285714286,0.9286943310657596,0.4704761904761905,0.7366340136054421,0.7752380952380953,0.910570068027211
