epoch,class_0_recall,class_0_auc,class_1_recall,class_1_auc,class_2_recall,class_2_auc
1,0.7438095238095238,0.8844834467120181,0.46190476190476193,0.6232961451247165,0.6228571428571429,0.8762521541950112
2,0.7647619047619048,0.8946770975056688,0.18285714285714286,0.6323312925170068,0.8752380952380953,0.8785764172335603
3,0.7847619047619048,0.8911773242630385,0.14952380952380953,0.6379231292517007,0.9314285714285714,0.8788167800453515
4,0.861904761904762,0.9008009070294785,0.3,0.6559306122448979,0.7542857142857143,0.8850843537414965
5,0.8257142857142857,0.904685260770975,0.34095238095238095,0.6561428571428571,0.8142857142857143,0.8872253968253968
6,0.8676190476190476,0.9028743764172336,0.16476190476190475,0.6700133786848074,0.8933333333333333,0.8874884353741497
7,0.8447619047619047,0.904772335600907,0.3314285714285714,0.6763446712018141,0.8085714285714286,0.8876494331065758
8,0.8866666666666667,0.9147532879818594,0.42952380952380953,0.6642399092970521,0.5942857142857143,0.8892013605442177
9,0.8980952380952381,0.9133764172335602,0.22476190476190477,0.6724526077097505,0.8038095238095239,0.8893922902494331
10,0.7504761904761905,0.9154063492063492,0.4380952380952381,0.6840340136054422,0.7885714285714286,0.8939777777777778
11,0.8590476190476191,0.911770068027211,0.44,0.6826195011337869,0.7019047619047619,0.894921088435374
12,0.8228571428571428,0.9134172335600909,0.4676190476190476,0.6868312925170068,0.7152380952380952,0.9000861678004536
13,0.7895238095238095,0.9201646258503401,0.2580952380952381,0.6923233560090704,0.9238095238095239,0.8981507936507935
14,0.8657142857142858,0.9203496598639457,0.38,0.7026548752834467,0.7914285714285715,0.8998902494331066
15,0.8714285714285714,0.9194995464852607,0.3476190476190476,0.702504761904762,0.82,0.8995972789115647
16,0.8771428571428571,0.9223120181405895,0.5238095238095238,0.7094331065759637,0.6314285714285715,0.8979142857142857
17,0.8228571428571428,0.9222179138321996,0.3838095238095238,0.7048657596371882,0.8428571428571429,0.9012199546485262
18,0.8961904761904762,0.9142739229024943,0.3961904761904762,0.6921836734693878,0.7095238095238096,0.8992653061224489
19,0.8876190476190476,0.9251160997732428,0.4533333333333333,0.7095356009070294,0.7323809523809524,0.902558276643991
20,0.8838095238095238,0.9239319727891157,0.4266666666666667,0.6999818594104309,0.7704761904761904,0.9035927437641724
21,0.8923809523809524,0.921413605442177,0.379047619047619,0.7059471655328798,0.78,0.9015628117913832
22,0.8838095238095238,0.9239206349206348,0.3476190476190476,0.714581179138322,0.8676190476190476,0.9060213151927439
23,0.8085714285714286,0.9294929705215418,0.44285714285714284,0.7188172335600908,0.8285714285714286,0.9077569160997733
24,0.8580952380952381,0.9244512471655328,0.35904761904761906,0.7122290249433108,0.8742857142857143,0.9032907029478459
25,0.7028571428571428,0.9269419501133787,0.518095238095238,0.7048244897959184,0.8295238095238096,0.9076480725623582
26,0.8790476190476191,0.9300231292517006,0.4676190476190476,0.7331219954648525,0.7619047619047619,0.9068281179138322
27,0.8752380952380953,0.9296498866213151,0.5152380952380953,0.7195247165532879,0.6961904761904761,0.9091614512471656
28,0.878095238095238,0.9282421768707483,0.3657142857142857,0.7216444444444444,0.839047619047619,0.9059043083900227
29,0.8447619047619047,0.9304866213151928,0.4342857142857143,0.7311816326530614,0.8095238095238095,0.906912925170068
30,0.8952380952380953,0.9308208616780046,0.4828571428571429,0.727724716553288,0.7095238095238096,0.9070920634920635
