epoch,class_0_recall,class_0_auc,class_1_recall,class_1_auc,class_2_recall,class_2_auc
1,0.6819047619047619,0.8476671201814059,0.52,0.5924521541950113,0.54,0.8665959183673471
2,0.7019047619047619,0.8477015873015873,0.5142857142857142,0.5938045351473923,0.539047619047619,0.8666544217687076
3,0.8952380952380953,0.8682852607709751,0.2580952380952381,0.6071678004535147,0.6580952380952381,0.8697383219954649
4,0.8980952380952381,0.8704544217687075,0.30666666666666664,0.6082820861678004,0.62,0.8703591836734694
5,0.7695238095238095,0.8717877551020409,0.46285714285714286,0.6158013605442176,0.6028571428571429,0.8840730158730159
6,0.7828571428571428,0.8720757369614511,0.4514285714285714,0.6163092970521543,0.6066666666666667,0.8840911564625851
7,0.7314285714285714,0.872861224489796,0.5352380952380953,0.601879365079365,0.5009523809523809,0.8783290249433107
8,0.7285714285714285,0.871631746031746,0.5380952380952381,0.60022358276644,0.4866666666666667,0.8781056689342405
9,0.8057142857142857,0.8669895691609978,0.2038095238095238,0.6017585034013606,0.8123809523809524,0.8615333333333332
10,0.799047619047619,0.8670748299319728,0.2180952380952381,0.5971841269841269,0.8076190476190476,0.8593337868480726
11,0.8733333333333333,0.8914929705215419,0.4180952380952381,0.6096199546485261,0.6180952380952381,0.8968478458049886
12,0.8752380952380953,0.8916417233560091,0.41523809523809524,0.6097310657596371,0.6257142857142857,0.8969927437641723
13,0.8638095238095238,0.8907859410430841,0.3333333333333333,0.628609977324263,0.7314285714285714,0.8917868480725624
14,0.8657142857142858,0.8907687074829931,0.3361904761904762,0.6279931972789116,0.7228571428571429,0.891698866213152
15,0.8304761904761905,0.9018358276643991,0.14761904761904762,0.6389795918367348,0.939047619047619,0.8972471655328799
16,0.8257142857142857,0.9016544217687076,0.15047619047619049,0.6381868480725623,0.9371428571428572,0.8971047619047618
17,0.8038095238095239,0.9049188208616779,0.4342857142857143,0.65036462585034,0.7028571428571428,0.8957002267573696
18,0.8038095238095239,0.9049709750566893,0.42857142857142855,0.6508802721088435,0.7038095238095238,0.8956353741496599
19,0.8447619047619047,0.9063709750566894,0.13047619047619047,0.6746975056689343,0.960952380952381,0.8916235827664398
20,0.8476190476190476,0.9065369614512472,0.13142857142857142,0.674736507936508,0.9580952380952381,0.8921995464852608
21,0.8314285714285714,0.9184907029478458,0.34476190476190477,0.6753301587301588,0.8057142857142857,0.8988340136054421
22,0.8314285714285714,0.9185904761904762,0.3504761904761905,0.6753256235827665,0.799047619047619,0.8990716553287983
23,0.9028571428571428,0.9203988662131519,0.4380952380952381,0.6835165532879819,0.659047619047619,0.8938122448979592
24,0.9038095238095238,0.9204249433106576,0.44,0.6836448979591837,0.66,0.8938335600907029
25,0.9047619047619048,0.9202866213151926,0.4228571428571429,0.6903233560090702,0.6771428571428572,0.8984775510204082
26,0.9057142857142857,0.9202517006802722,0.4257142857142857,0.690687074829932,0.6685714285714286,0.8986770975056688
27,0.8028571428571428,0.9229301587301588,0.5323809523809524,0.7035682539682538,0.7304761904761905,0.9012376417233561
28,0.8038095238095239,0.9228848072562358,0.5342857142857143,0.7035578231292516,0.7238095238095238,0.9011383219954648
29,0.8980952380952381,0.9285102040816327,0.2542857142857143,0.7126825396825397,0.9095238095238095,0.9020589569160998
30,0.8980952380952381,0.9286673469387756,0.25523809523809526,0.7125623582766439,0.9104761904761904,0.9019857142857143
