epoch,accuracy,auc_ovr,learning_rate,loss,val_accuracy,val_auc_ovr,val_loss
0,0.7529478669166565,0.9241921305656433,0.0003000000142492354,0.4900208115577698,0.3330158591270447,0.4997616708278656,10.717660903930664
1,0.8164625763893127,0.9543743133544922,0.0003000000142492354,0.3699398636817932,0.3336507976055145,0.5004761815071106,11.87929916381836
2,0.8476870656013489,0.967341423034668,0.0003000000142492354,0.3189970552921295,0.3444444537162781,0.5168580412864685,9.2706937789917
3,0.8568707704544067,0.9705162048339844,0.0003000000142492354,0.2947942018508911,0.3558730185031891,0.5402028560638428,7.959756851196289
4,0.8563718795776367,0.9697928428649902,0.0003000000142492354,0.3014329671859741,0.3977777659893036,0.5794097781181335,6.514829635620117
5,0.8664852380752563,0.9730241894721985,0.0003000000142492354,0.28074559569358826,0.3365079462528229,0.516068696975708,7.801291465759277
6,0.8677777647972107,0.9742236137390137,0.0003000000142492354,0.27588894963264465,0.36126983165740967,0.5646964907646179,6.5710015296936035
7,0.8690022826194763,0.9749881625175476,0.0003000000142492354,0.26841241121292114,0.3790476322174072,0.579413115978241,6.5763325691223145
8,0.8762131333351135,0.9765422344207764,9.000000136438757e-05,0.26357516646385193,0.4387301504611969,0.6661303639411926,3.6755218505859375
9,0.879410445690155,0.9779539108276367,9.000000136438757e-05,0.252027690410614,0.3517460227012634,0.6177646517753601,4.856299877166748
10,0.8766440153121948,0.9776334166526794,9.000000136438757e-05,0.252844899892807,0.46063491702079773,0.6768876910209656,3.5260519981384277
11,0.8811110854148865,0.9787465929985046,9.000000136438757e-05,0.24723824858665466,0.45523810386657715,0.6915770173072815,3.2884485721588135
12,0.8806122541427612,0.9792132377624512,9.000000136438757e-05,0.24378223717212677,0.48793649673461914,0.7015655636787415,3.052950382232666
13,0.8848979473114014,0.9797768592834473,9.000000136438757e-05,0.24047353863716125,0.4987301528453827,0.7112739682197571,2.8528363704681396
14,0.8851247429847717,0.9801836013793945,9.000000136438757e-05,0.2386602908372879,0.4898412823677063,0.7132058143615723,2.8384907245635986
15,0.8861904740333557,0.9803783297538757,9.000000136438757e-05,0.23692984879016876,0.46063491702079773,0.7065350413322449,2.995182991027832
16,0.8857369422912598,0.9806892275810242,9.000000136438757e-05,0.23494283854961395,0.48825398087501526,0.7160763740539551,2.8013224601745605
17,0.8865986466407776,0.980888843536377,9.000000136438757e-05,0.2345408797264099,0.49142858386039734,0.7196919322013855,2.763123035430908
18,0.8885714411735535,0.9812222123146057,9.000000136438757e-05,0.2314911037683487,0.49015873670578003,0.7212019562721252,2.6939642429351807
19,0.8908616900444031,0.981661856174469,9.000000136438757e-05,0.2293904721736908,0.48698413372039795,0.724905788898468,2.6924538612365723
20,0.8891609907150269,0.981739342212677,9.000000136438757e-05,0.22958752512931824,0.5177778005599976,0.7349782586097717,2.4655613899230957
21,0.8902040719985962,0.9819063544273376,9.000000136438757e-05,0.22855503857135773,0.5114285945892334,0.7378509640693665,2.401313304901123
22,0.8928117752075195,0.9822239279747009,9.000000136438757e-05,0.2253006100654602,0.5247619152069092,0.7441504001617432,2.274188280105591
23,0.8919501304626465,0.982489824295044,9.000000136438757e-05,0.22427871823310852,0.523809552192688,0.7467208504676819,2.2708771228790283
