epoch,accuracy,loss,val_accuracy,val_loss
0,0.668083131313324,0.854246199131012,0.7369964718818665,0.6806262135505676
1,0.7145542502403259,0.8050548434257507,0.7723414301872253,0.6812378168106079
2,0.7324507832527161,0.7819141745567322,0.5479240417480469,1.4794455766677856
3,0.745444118976593,0.7678161263465881,0.758296012878418,0.6704517006874084
4,0.7465065121650696,0.7568503022193909,0.7609198689460754,0.66504967212677
5,0.7493667006492615,0.7492175102233887,0.6051859855651855,0.9189721941947937
6,0.7532347440719604,0.7410611510276794,0.7636981010437012,0.6873533129692078
7,0.7567759156227112,0.733717143535614,0.7328291535377502,0.7358477711677551
8,0.75791996717453,0.7274395227432251,0.7448680400848389,0.6708272099494934
9,0.7559041976928711,0.7238953709602356,0.7261922955513,0.7567949295043945
